  188CHOL   ROH 2185   9.660   4.974   3.620  0.2199 -0.0565 -0.0497
  188CHOL    R1 2186   9.644   5.031   3.897  0.3142 -0.1275 -0.0253
  188CHOL    R2 2187   9.406   5.012   4.041  0.2773  0.1423 -0.0108
  188CHOL    R3 2188   9.555   4.849   4.198  0.0815 -0.1244 -0.0939
  188CHOL    R4 2189   9.324   4.915   4.361  0.1524  0.0047 -0.0850
  188CHOL    R5 2190   9.531   4.938   4.418  0.1597 -0.2577 -0.0416
  188CHOL    C1 2191   9.415   4.706   4.696 -0.1041 -0.3257 -0.2061
  188CHOL    C2 2192   9.308   4.714   5.079  0.0850 -0.0849 -0.1633
  189CHOL   ROH 2193   7.695   0.878   6.459  0.2061  0.0377  0.0048
  189CHOL    R1 2194   7.638   0.843   6.184  0.1860  0.1497 -0.0085
  189CHOL    R2 2195   7.745   1.007   5.986  0.2529  0.1776  0.0314
  189CHOL    R3 2196   7.828   0.770   5.883  0.1569  0.1726 -0.0269
  189CHOL    R4 2197   7.770   0.934   5.650 -0.0421  0.1262  0.0172
  189CHOL    R5 2198   7.691   0.737   5.690 -0.0025  0.1454  0.1011
  189CHOL    C1 2199   7.862   0.668   5.357 -0.3040  0.0915 -0.0458
  189CHOL    C2 2200   7.835   0.559   5.014  0.0123  0.0921  0.1706
  190CHOL   ROH 2201   2.948   2.582   6.040 -0.1948  0.0571 -0.0343
  190CHOL    R1 2202   2.912   2.762   5.824 -0.0890  0.0675 -0.0486
  190CHOL    R2 2203   3.009   2.711   5.568  0.0868  0.0953 -0.0166
  190CHOL    R3 2204   2.750   2.753   5.499  0.1134  0.0433 -0.1417
  190CHOL    R4 2205   2.894   2.770   5.248  0.1141 -0.3105 -0.1101
  190CHOL    R5 2206   2.758   2.918   5.327  0.1355 -0.2017 -0.3530
  190CHOL    C1 2207   2.584   2.844   4.996  0.1550 -0.5957 -0.2819
  190CHOL    C2 2208   2.556   2.862   4.689  0.1531 -0.0798 -0.0215
  191CHOL   ROH 2209   3.533   5.430   6.021 -0.0674  0.1053 -0.0327
  191CHOL    R1 2210   3.615   5.463   5.752  0.0455 -0.0472 -0.0208
  191CHOL    R2 2211   3.570   5.273   5.558 -0.0538 -0.0733  0.0222
  191CHOL    R3 2212   3.454   5.480   5.426  0.1587 -0.0150 -0.0747
  191CHOL    R4 2213   3.458   5.259   5.231 -0.2017 -0.1623  0.0758
  191CHOL    R5 2214   3.538   5.461   5.202  0.0465 -0.2808 -0.0972
  191CHOL    C1 2215   3.285   5.446   4.917 -0.0882 -0.1594  0.0161
  191CHOL    C2 2216   3.432   5.609   4.508  0.1539  0.0127  0.2874
  192CHOL   ROH 2217   5.813   2.884   5.992  0.0276 -0.0827 -0.0710
  192CHOL    R1 2218   6.031   2.999   5.851  0.1821 -0.2682  0.0068
  192CHOL    R2 2219   6.212   2.847   5.706 -0.1614 -0.4103 -0.3032
  192CHOL    R3 2220   6.141   3.015   5.505  0.0416  0.0384 -0.0312
  192CHOL    R4 2221   6.400   2.909   5.423 -0.2038 -0.4073 -0.3304
  192CHOL    R5 2222   6.345   3.118   5.438  0.2313 -0.2842  0.0017
  192CHOL    C1 2223   6.442   3.103   5.069 -0.0379  0.0157 -0.0909
  192CHOL    C2 2224   6.637   3.355   4.838  0.1303 -0.2118  0.1806
  193CHOL   ROH 2225   9.575   3.032   6.829  0.0928 -0.0594 -0.0380
  193CHOL    R1 2226   9.530   2.975   6.555  0.1107 -0.0478 -0.0418
  193CHOL    R2 2227   9.356   3.126   6.397  0.0958 -0.0661 -0.0334
  193CHOL    R3 2228   9.576   3.150   6.240  0.0944 -0.0223 -0.0312
  193CHOL    R4 2229   9.357   3.120   6.052  0.1251 -0.3018 -0.0346
  193CHOL    R5 2230   9.537   3.002   6.058  0.2093 -0.1780  0.0632
  193CHOL    C1 2231   9.563   3.140   5.703  0.1408 -0.3980 -0.0331
  193CHOL    C2 2232   9.394   3.067   5.341 -0.0769  0.0028 -0.2287
  194CHOL   ROH 2233  11.576   6.898   3.546  0.0275 -0.1846  0.1764
  194CHOL    R1 2234  11.621   7.045   3.784 -0.2215  0.0030  0.1196
  194CHOL    R2 2235  11.414   7.147   3.938 -0.4208 -0.3154  0.1065
  194CHOL    R3 2236  11.538   7.008   4.137 -0.1276 -0.0287  0.1345
  194CHOL    R4 2237  11.394   7.221   4.275 -0.2768 -0.1153  0.0714
  194CHOL    R5 2238  11.606   7.176   4.293 -0.2182  0.1508 -0.0261
  194CHOL    C1 2239  11.499   7.135   4.657  0.0824  0.2703  0.0773
  194CHOL    C2 2240  11.537   7.258   5.034 -0.0274  0.0062  0.1297
  195CHOL   ROH 2241   7.500   6.156   6.699 -0.1876  0.0968  0.1137
  195CHOL    R1 2242   7.563   6.254   6.440 -0.1209  0.0307  0.1048
  195CHOL    R2 2243   7.780   6.160   6.293 -0.0408  0.0366  0.2103
  195CHOL    R3 2244   7.589   6.115   6.105  0.0320 -0.0727  0.1594
  195CHOL    R4 2245   7.828   6.179   5.952  0.0444 -0.0642  0.2142
  195CHOL    R5 2246   7.634   6.274   5.934  0.0335 -0.1239  0.1207
  195CHOL    C1 2247   7.677   6.149   5.577  0.1622 -0.2255  0.1687
  195CHOL    C2 2248   7.797   6.306   5.286 -0.1650 -0.2204  0.0752
  196CHOL   ROH 2249   5.862   1.143   6.060  0.1111 -0.1386  0.0011
  196CHOL    R1 2250   5.913   1.111   5.783  0.0631 -0.1314 -0.0071
  196CHOL    R2 2251   5.761   1.233   5.588  0.0516 -0.1091  0.0305
  196CHOL    R3 2252   6.002   1.327   5.504  0.0455 -0.1334 -0.0188
  196CHOL    R4 2253   5.833   1.330   5.264 -0.1172  0.1483  0.0628
  196CHOL    R5 2254   6.028   1.234   5.285 -0.1296  0.0394 -0.1298
  196CHOL    C1 2255   6.101   1.473   4.997 -0.2211  0.2755  0.0352
  196CHOL    C2 2256   6.342   1.660   4.851 -0.0176  0.0571  0.3080
  197CHOL   ROH 2257  10.147   1.853   6.657 -0.1429 -0.0403  0.0030
  197CHOL    R1 2258  10.272   1.816   6.406 -0.0032 -0.0534  0.0733
  197CHOL    R2 2259  10.133   1.735   6.181  0.1209 -0.0451  0.0001
  197CHOL    R3 2260  10.244   1.959   6.072  0.1996 -0.0594  0.0480
  197CHOL    R4 2261  10.175   1.788   5.842 -0.2295  0.1482 -0.0220
  197CHOL    R5 2262  10.370   1.876   5.886 -0.0825 -0.0573 -0.1681
  197CHOL    C1 2263  10.302   2.028   5.543 -0.3597  0.2474  0.0101
  197CHOL    C2 2264  10.584   1.891   5.377  0.1004 -0.0422 -0.0154
  198CHOL   ROH 2265   1.358   6.031   6.271 -0.1198 -0.0177 -0.0048
  198CHOL    R1 2266   1.410   5.935   6.009 -0.2238 -0.0790 -0.0035
  198CHOL    R2 2267   1.215   5.926   5.812 -0.2489  0.0939  0.0097
  198CHOL    R3 2268   1.397   6.071   5.672 -0.1183 -0.0782 -0.0067
  198CHOL    R4 2269   1.208   5.974   5.470 -0.3649  0.3000  0.0363
  198CHOL    R5 2270   1.424   5.950   5.467 -0.3954 -0.0030 -0.0932
  198CHOL    C1 2271   1.375   6.138   5.140 -0.3099  0.2583  0.0363
  198CHOL    C2 2272   1.610   6.243   5.010  0.1038 -0.0948 -0.0796
  199CHOL   ROH 2273   8.666   1.112   6.416 -0.1559 -0.0982 -0.0395
  199CHOL    R1 2274   8.710   1.215   6.156 -0.0283 -0.0803 -0.0120
  199CHOL    R2 2275   8.819   1.062   5.952  0.0489 -0.0747  0.0223
  199CHOL    R3 2276   8.595   1.139   5.819  0.1146 -0.0409 -0.0707
  199CHOL    R4 2277   8.802   1.124   5.613  0.1810 -0.1187  0.0066
  199CHOL    R5 2278   8.674   1.295   5.655  0.2069 -0.0839 -0.0655
  199CHOL    C1 2279   8.583   1.232   5.290  0.3196 -0.1126 -0.0898
  199CHOL    C2 2280   8.453   1.260   4.833 -0.3196 -0.1611 -0.2468
  200CHOL   ROH 2281  12.145   8.035   3.449 -0.0024 -0.1451  0.0147
  200CHOL    R1 2282  12.005   7.988   3.691 -0.0842  0.0502  0.0130
  200CHOL    R2 2283  12.132   7.907   3.922 -0.1988 -0.1973  0.0191
  200CHOL    R3 2284  12.008   8.124   4.029  0.1581  0.0167  0.0208
  200CHOL    R4 2285  12.094   7.964   4.261 -0.0941 -0.0688  0.0091
  200CHOL    R5 2286  11.892   8.037   4.220  0.0324  0.2488  0.0341
  200CHOL    C1 2287  11.957   8.201   4.558  0.3019  0.2070  0.0048
  200CHOL    C2 2288  11.956   8.165   4.912 -0.2589  0.0586 -0.0156
  201CHOL   ROH 2289   9.540   2.559   6.839 -0.0607  0.1384  0.0369
  201CHOL    R1 2290   9.646   2.484   6.588  0.0190  0.1231  0.0731
  201CHOL    R2 2291   9.486   2.408   6.375  0.0883 -0.0436  0.0683
  201CHOL    R3 2292   9.623   2.604   6.245 -0.0135  0.0053  0.0353
  201CHOL    R4 2293   9.509   2.439   6.031 -0.0820  0.0366  0.0629
  201CHOL    R5 2294   9.718   2.494   6.055 -0.0865  0.0689 -0.0327
  201CHOL    C1 2295   9.651   2.641   5.710 -0.2766  0.1292  0.0287
  201CHOL    C2 2296   9.753   2.723   5.363 -0.2130 -0.0827 -0.1141
  202CHOL   ROH 2297   7.467   8.114   3.155 -0.1160 -0.2185 -0.0619
  202CHOL    R1 2298   7.412   7.964   3.388 -0.0032 -0.1138  0.0315
  202CHOL    R2 2299   7.543   8.006   3.626 -0.0112  0.1042 -0.0180
  202CHOL    R3 2300   7.291   8.031   3.725 -0.0132  0.0021  0.0110
  202CHOL    R4 2301   7.461   7.966   3.959  0.0945  0.1838  0.0203
  202CHOL    R5 2302   7.280   7.860   3.895  0.1283  0.0464  0.0856
  202CHOL    C1 2303   7.177   7.966   4.247  0.1541  0.1343  0.0697
  202CHOL    C2 2304   7.281   8.059   4.688 -0.1482  0.1209  0.2245
  203CHOL   ROH 2305   4.087   2.729   3.231  0.0433  0.0170 -0.1048
  203CHOL    R1 2306   4.014   2.655   3.494 -0.0803  0.1130 -0.1119
  203CHOL    R2 2307   3.752   2.662   3.584 -0.1349  0.0352 -0.2789
  203CHOL    R3 2308   3.801   2.403   3.647 -0.0534  0.0865 -0.1133
  203CHOL    R4 2309   3.567   2.475   3.807 -0.3051  0.0279 -0.4194
  203CHOL    R5 2310   3.752   2.389   3.881 -0.3300  0.1639 -0.1545
  203CHOL    C1 2311   3.505   2.123   3.997 -0.3276  0.0717 -0.3458
  203CHOL    C2 2312   3.439   1.859   4.265  0.1489 -0.0328 -0.1182
